date,equity
2022-07-22,5055493.105722071
2022-07-29,5075585.959693334
2022-08-01,5114756.030889175
2022-08-03,5048540.833948573
2022-08-04,5050381.353331769
2022-08-10,5009968.210962881
2022-08-12,4999487.13564036
2022-08-19,5059015.781880006
2022-08-24,5100259.408041783
2022-12-09,5146984.646969695
2023-03-24,5107652.029482133
2023-05-19,5102759.72290901
2023-05-24,5024650.94338802
2025-04-03,5018905.141219214
2025-04-04,5012834.781344675
2025-05-05,5050115.513909423
2025-05-07,5179713.275600818
2025-05-19,5137331.667437405
2025-05-27,5097861.953116628
2025-06-02,5151394.958127086
2025-06-26,5208393.46171053
2025-07-09,5162768.27217249
2026-04-15,5123203.1055187695
2026-05-06,5107747.552783735
2026-05-19,5110875.562614897
2026-05-20,5150169.612958221
2026-06-09,5128207.7160217045
2026-07-02,5144412.782895961
