symbol,signal_date,entry_date,exit_date,setup,score,entry,stop,target,exit,exit_reason,days_held,ret_pct,r_multiple
ADANIGREEN,2023-03-23,2023-03-24,2023-03-24,DEAD-CAT BOUNCE,72.0,976.77,1029.61,781.47,1029.61,STOP,0,-5.512,-1.019
ADANIGREEN,2023-05-23,2023-05-24,2023-05-24,DEAD-CAT BOUNCE,59.0,987.81,1029.5,912.02,1029.5,STOP,0,-4.323,-1.024
ADANIPOWER,2023-05-23,2023-05-24,2023-05-24,DEAD-CAT BOUNCE,79.0,52.0,54.05,46.41,54.05,STOP,0,-4.039,-1.026
ABCAPITAL,2025-03-24,2025-03-25,2025-04-03,DEAD-CAT BOUNCE,65.0,183.07,193.16,166.67,193.16,STOP,6,-5.615,-1.019
ASIANPAINT,2025-07-03,2025-07-04,2025-07-09,DEAD-CAT BOUNCE,73.0,2397.99,2483.07,2290.52,2494.93,STOP,3,-4.144,-1.168
BAJAJ-AUTO,2025-05-27,2025-05-28,2025-06-02,DEAD-CAT BOUNCE,52.0,8551.47,8867.72,8100.36,8100.36,TARGET,3,5.178,1.4
BANDHANBNK,2025-04-24,2025-04-25,2025-05-07,DEAD-CAT BOUNCE,58.0,167.35,176.03,155.04,153.6,TIME_STOP,7,8.123,1.567
BHARATFORG,2025-03-24,2025-03-25,2025-04-03,DEAD-CAT BOUNCE,57.0,1173.44,1234.04,1100.23,1100.23,TARGET,6,6.142,1.189
BHARATFORG,2025-05-15,2025-05-16,2025-05-27,DEAD-CAT BOUNCE,69.0,1231.86,1295.91,1136.67,1235.08,TIME_STOP,7,-0.361,-0.069
BIOCON,2023-05-09,2023-05-10,2023-05-19,DEAD-CAT BOUNCE,59.0,241.75,250.59,230.35,242.63,TIME_STOP,7,-0.467,-0.128
CDSL,2026-06-22,2026-06-23,2026-07-02,DEAD-CAT BOUNCE,85.0,1352.89,1418.94,1256.02,1323.73,TIME_STOP,7,2.057,0.421
COALINDIA,2025-03-24,2025-03-25,2025-04-04,DEAD-CAT BOUNCE,55.0,378.07,393.97,358.4,369.99,TIME_STOP,7,2.037,0.484
COFORGE,2026-05-11,2026-05-12,2026-05-19,DEAD-CAT BOUNCE,68.0,1358.24,1438.75,1247.92,1438.75,STOP,5,-6.03,-1.017
CROMPTON,2022-07-15,2022-07-18,2022-07-22,DEAD-CAT BOUNCE,65.0,378.62,396.97,351.1,351.1,TARGET,4,7.172,1.48
DELHIVERY,2025-05-15,2025-05-16,2025-05-19,DEAD-CAT BOUNCE,53.0,321.83,336.62,301.4,336.62,STOP,1,-4.697,-1.022
GODREJPROP,2022-07-22,2022-07-25,2022-07-29,DEAD-CAT BOUNCE,62.0,1443.56,1513.78,1332.09,1513.78,STOP,4,-4.967,-1.021
GODREJPROP,2022-08-01,2022-08-02,2022-08-04,DEAD-CAT BOUNCE,53.0,1496.5,1571.98,1392.6,1392.6,TARGET,2,6.846,1.357
HAVELLS,2025-04-22,2025-04-23,2025-05-05,DEAD-CAT BOUNCE,84.0,1620.66,1699.92,1528.48,1553.36,TIME_STOP,7,4.055,0.829
HINDALCO,2022-08-01,2022-08-02,2022-08-10,DEAD-CAT BOUNCE,89.0,404.5,426.45,365.75,426.45,STOP,5,-5.528,-1.019
HINDZINC,2022-07-20,2022-07-21,2022-08-01,DEAD-CAT BOUNCE,70.0,204.27,215.13,188.84,201.18,TIME_STOP,7,1.411,0.265
IOC,2022-08-17,2022-08-18,2022-08-24,DEAD-CAT BOUNCE,61.0,60.73,62.38,58.69,58.69,TARGET,4,3.261,1.202
INFY,2022-08-05,2022-08-08,2022-08-19,DEAD-CAT BOUNCE,75.0,1421.41,1475.16,1353.45,1407.74,TIME_STOP,7,0.862,0.228
JIOFIN,2025-04-24,2025-04-25,2025-05-07,DEAD-CAT BOUNCE,55.0,255.84,267.15,237.42,244.67,TIME_STOP,7,4.27,0.966
JIOFIN,2025-05-19,2025-05-20,2025-05-27,DEAD-CAT BOUNCE,58.0,275.05,286.66,258.68,286.66,STOP,5,-4.324,-1.024
MPHASIS,2022-12-02,2022-12-05,2022-12-09,DEAD-CAT BOUNCE,81.0,1940.2,2023.7,1836.32,1836.32,TARGET,4,5.257,1.221
MCX,2022-07-21,2022-07-22,2022-08-01,DEAD-CAT BOUNCE,82.0,273.8,285.31,258.63,258.63,TARGET,6,5.444,1.295
OFSS,2025-04-24,2025-04-25,2025-05-07,DEAD-CAT BOUNCE,84.0,8039.1,8442.25,7394.74,7663.14,TIME_STOP,7,4.579,0.913
OFSS,2025-06-17,2025-06-18,2025-06-26,DEAD-CAT BOUNCE,53.0,9211.56,9610.67,8613.8,8613.8,TARGET,6,6.392,1.475
POLICYBZR,2026-04-24,2026-04-27,2026-05-06,DEAD-CAT BOUNCE,82.0,1665.33,1755.71,1555.03,1700.0,TIME_STOP,7,-2.183,-0.402
PAGEIND,2026-04-08,2026-04-09,2026-04-15,DEAD-CAT BOUNCE,84.0,35027.1,36662.92,32718.64,36662.92,STOP,3,-4.772,-1.022
SRF,2026-05-08,2026-05-11,2026-05-20,DEAD-CAT BOUNCE,75.0,2767.23,2900.27,2574.59,2617.2,TIME_STOP,7,5.324,1.107
TMPV,2026-05-28,2026-05-29,2026-06-09,DEAD-CAT BOUNCE,83.0,397.25,410.85,361.75,390.71,TIME_STOP,7,1.548,0.452
TATAPOWER,2025-03-24,2025-03-25,2025-04-04,DEAD-CAT BOUNCE,69.0,374.68,390.31,355.5,379.2,TIME_STOP,7,-1.308,-0.314
TITAN,2022-07-25,2022-07-26,2022-08-03,DEAD-CAT BOUNCE,53.0,2281.34,2375.45,2146.77,2375.45,STOP,6,-4.227,-1.025
VEDL,2022-08-01,2022-08-02,2022-08-12,DEAD-CAT BOUNCE,58.0,162.73,171.51,150.63,165.02,TIME_STOP,7,-1.505,-0.279
